transaction_id,customer_id,product_id,store_id,date,quantity,unit_price,total_amount
1,93,93,4,2025-01-19,2,220.98,441.96
2,99,197,4,2025-12-16,4,174.05,696.2
3,152,40,2,2025-05-21,1,22.62,22.62
4,428,198,9,2026-06-04,3,78.45,235.35
5,449,170,10,2025-02-08,2,34.81,69.62
6,79,153,3,2025-05-15,2,61.44,122.88
7,415,178,3,2025-07-05,3,19.47,58.41
8,187,12,4,2026-03-25,2,186.87,373.74
9,386,157,8,2026-03-31,2,147.85,295.7
10,159,137,8,2025-08-28,1,70.81,70.81
11,485,95,10,2025-07-18,3,156.71,470.13
12,399,119,7,2026-03-28,2,166.35,332.7
13,495,136,3,2026-05-30,2,213.63,427.26
14,447,155,5,2025-07-24,1,108.85,108.85
15,448,165,6,2025-02-23,2,174.75,349.5
16,436,183,2,2025-04-16,3,182.26,546.78
17,140,22,8,2025-10-19,1,90.63,90.63
18,47,38,4,2026-06-10,2,12.0,24.0
19,213,90,1,2026-04-07,1,111.71,111.71
20,121,129,7,2026-02-10,2,65.93,131.86
21,15,96,6,2025-03-25,1,156.0,156.0
22,172,183,3,2025-04-12,3,182.26,546.78
23,470,10,8,2025-05-21,2,143.63,287.26
24,241,195,8,2025-05-23,3,75.8,227.4
25,132,21,4,2025-01-06,1,199.79,199.79
26,312,141,9,2025-06-03,3,206.49,619.47
27,122,29,5,2026-03-10,2,193.14,386.28
28,215,13,10,2025-05-05,1,142.56,142.56
29,429,17,8,2026-04-14,1,107.85,107.85
30,295,162,4,2025-01-17,3,94.72,284.16
31,1,75,10,2025-05-28,2,79.3,158.6
32,214,62,3,2025-12-28,5,23.95,119.75
33,35,135,9,2025-03-29,2,136.62,273.24
34,11,130,7,2026-06-04,3,103.95,311.85
35,199,12,6,2026-04-27,3,186.87,560.61
36,183,192,2,2025-09-17,1,121.59,121.59
37,396,62,10,2025-12-20,1,23.95,23.95
38,181,35,9,2025-12-07,1,140.08,140.08
39,426,165,8,2025-12-13,2,174.75,349.5
40,416,162,3,2026-05-06,1,94.72,94.72
41,19,184,5,2025-03-06,2,41.71,83.42
42,454,12,1,2025-07-26,1,186.87,186.87
43,204,80,9,2025-11-20,5,63.13,315.65
44,386,65,4,2026-04-30,1,266.52,266.52
45,444,92,6,2025-10-20,1,129.7,129.7
46,224,32,7,2025-10-07,2,7.99,15.98
47,499,99,3,2026-03-27,2,163.45,326.9
48,189,178,9,2026-05-24,2,19.47,38.94
49,218,22,2,2025-10-01,3,90.63,271.89
50,280,155,5,2026-03-17,1,108.85,108.85
51,168,27,5,2025-11-25,1,97.23,97.23
52,368,115,7,2025-11-10,5,123.06,615.3
53,180,177,8,2025-06-20,2,120.33,240.66
54,315,187,7,2025-02-13,2,21.44,42.88
55,39,164,7,2025-10-09,1,83.09,83.09
56,348,132,3,2026-01-08,3,169.85,509.55
57,348,37,8,2025-02-01,3,191.06,573.18
58,121,33,6,2025-02-05,1,174.83,174.83
59,17,99,10,2026-01-06,3,163.45,490.35
60,486,174,6,2025-06-07,2,128.88,257.76
61,294,114,3,2026-01-16,1,108.46,108.46
62,161,94,5,2026-06-27,2,45.02,90.04
63,377,30,3,2025-09-13,1,193.24,193.24
64,468,133,9,2026-05-27,2,255.04,510.08
65,361,68,8,2025-05-01,2,73.0,146.0
66,356,157,8,2025-08-08,2,147.85,295.7
67,437,32,2,2025-07-24,1,7.99,7.99
68,228,45,2,2026-04-08,3,115.74,347.22
69,364,171,2,2025-11-24,3,214.88,644.64
70,365,77,3,2025-10-25,1,68.96,68.96
71,63,131,4,2026-01-06,1,99.03,99.03
72,14,61,6,2025-05-23,2,53.87,107.74
73,67,120,10,2026-01-13,3,147.27,441.81
74,204,17,8,2025-03-30,2,107.85,215.7
